id,Name,lft,rht,description,AnchorText,URLid,eye,hand lens,scope
854,Leaf Shape Tip,1705,1736,NULL,NULL,NULL,NULL,NULL,NULL
855,Leaf Shape Tip Acuminate,1706,1707,NULL,NULL,NULL,1,1,0
856,Leaf Shape Tip Acute,1708,1709,NULL,NULL,NULL,1,1,0
857,Leaf Shape Tip Broadly Rounded,1710,1711,NULL,NULL,NULL,1,1,0
858,Leaf Shape Tip Channeled,1712,1713,NULL,NULL,NULL,0,1,1
859,Leaf Shape Tip Hyaline,1714,1715,NULL,NULL,NULL,1,1,1
860,Leaf Shape Tip Obtuse,1716,1717,NULL,NULL,NULL,1,1,0
861,Leaf Shape Tip Recurved,1718,1719,NULL,NULL,NULL,1,1,0
862,Leaf Shape Tip Reflexed,1720,1721,NULL,NULL,NULL,1,1,0
863,Leaf Shape Tip Rounded,1722,1723,NULL,NULL,NULL,1,1,0
864,Leaf Shape Tip Serrulate,1724,1725,NULL,NULL,NULL,1,1,0
865,Leaf Shape Tip Slightly Serrulate,1726,1727,NULL,NULL,NULL,0,1,1
866,Leaf Shape Tip Terminal Cell Long,1728,1729,NULL,NULL,NULL,0,1,1
867,Leaf Shape Tip Terminal Cell Smooth,1730,1731,NULL,NULL,NULL,0,1,1
868,Leaf Shape Tip Truncate,1732,1733,NULL,NULL,NULL,1,1,0
869,Leaf Shape Tip Twisted,1734,1735,NULL,NULL,NULL,1,1,0
870,Leaf Size,1738,1753,NULL,NULL,NULL,NULL,NULL,NULL
871,Leaf Size Length,1739,1752,NULL,NULL,NULL,NULL,NULL,NULL
872,Leaf Size Length Greater Than 1 Mm,1740,1741,NULL,NULL,NULL,1,1,0
873,Leaf Size Length Greater Than 3 Mm,1742,1743,NULL,NULL,NULL,1,1,0
874,Leaf Size Length Greater Than 5 Mm,1744,1745,NULL,NULL,NULL,1,1,0
875,Leaf Size Length Less Than 1 Mm,1746,1747,NULL,NULL,NULL,1,1,1
876,Leaf Size Length Less Than One-Half Mm,1748,1749,NULL,NULL,NULL,0,0,1
877,Leaf Size Length One-Half To One Mm,1750,1751,NULL,NULL,NULL,0,0,1
878,Leaf Structure,1754,1795,NULL,NULL,NULL,NULL,NULL,NULL
879,Leaf Structure Appearance,1755,1770,NULL,NULL,NULL,NULL,NULL,NULL
880,Leaf Structure Appearance Cells Empty Looking,1756,1757,NULL,NULL,NULL,1,1,1
881,Leaf Structure Appearance Flat,1758,1759,NULL,NULL,NULL,1,0,0
882,Leaf Structure Appearance Fleshy,1760,1761,NULL,NULL,NULL,1,0,0
883,Leaf Structure Appearance Folded To Appear Heart-Shaped,1762,1763,NULL,NULL,NULL,1,1,0
884,Leaf Structure Appearance Keeled,1764,1765,NULL,NULL,NULL,0,1,1
885,Leaf Structure Appearance Posterior Edge Clasping,1766,1767,NULL,NULL,NULL,0,1,1
886,Leaf Structure Appearance Thin,1768,1769,NULL,NULL,NULL,1,0,0
887,Leaf Structure Leaf Laminal Layers,1771,1794,NULL,NULL,NULL,NULL,NULL,NULL
888,Leaf Structure Leaf Laminal Layers Bistratose,1772,1773,NULL,NULL,NULL,0,0,1
